CATAID,Z,nQ,Z_TONRY,logmstar,dellogmstar,logage,dellogage,metal,delmetal,gminusi,delgminusi,CATAID.1,X,Y,Z.1,d,GroupID,BranchID,FilID,CATAID.2,X.1,Y.1,Z.2,TendrilID
543653,0.11216,4,0.113135,10.2837,0.124032,9.71247,0.249516,0.0119263,0.00728008,0.699498,0.0403121,543653.0,30.178163665597,330.343680244524,-5.09848385273337,1.2615,307165.0,1500600001.0,150060.0,,,,,
543654,0.17468,4,0.17571,10.5501,0.1063,9.76827,0.203178,0.00986383,0.00686918,0.764231,0.040948,543654.0,46.0594808746746,506.475164179753,-8.78876744903421,2.3782,0.0,1500650002.0,150065.0,,,,,
543665,0.08323,5,0.0841787,10.1175,0.125846,9.72127,0.25065,0.0112068,0.00724162,0.69724,0.0402339,543665.0,22.243656727832,247.249380881145,-4.38806141151302,2.05561,0.0,1502310001.0,150231.0,,,,,
543668,0.11393,4,0.114904,10.5637,0.0972518,9.86083,0.163811,0.00984447,0.0078225,1.13124,0.0483958,543668.0,29.9203927018442,335.454532939791,-5.21547450398442,0.547045,300097.0,1500600002.0,150060.0,,,,,
543669,0.11469,5,0.115665,11.1426,0.10204,9.84779,0.170271,0.0138531,0.00845299,1.20056,0.0489156,543669.0,30.0500229970007,337.628307779555,-5.2380973222432,1.63343,300097.0,1500600002.0,150060.0,,,,,
543670,0.11451,5,0.115485,11.3614,0.104,9.84656,0.173662,0.0121903,0.00849047,1.20689,0.0508691,543670.0,30.0065875177326,337.114592385475,-5.25125438025473,1.11801,300097.0,1500600002.0,150060.0,,,,,
543673,0.11373,4,0.114704,10.5173,0.0925923,9.87177,0.154417,0.01102,0.00786191,1.1324,0.048961,543673.0,29.726164070123,334.895786108074,-5.16637160256886,1.12213,300097.0,1500600002.0,150060.0,,,,,
543675,0.11435,4,0.115325,10.3748,0.103618,9.84887,0.172544,0.00865288,0.00738119,1.04382,0.0488217,543675.0,29.8563269387554,336.653845681036,-6.07058839291032,1.06241,0.0,1500600002.0,150060.0,,,,,
543676,0.11534,5,0.116315,10.704,0.0914236,9.87772,0.152179,0.0132763,0.00871495,1.24541,0.0513325,543676.0,30.09246329354,339.492460935346,-5.27082186892045,3.49644,300097.0,1500600002.0,150060.0,,,,,
543721,0.14025,4,0.141244,10.5526,0.100595,9.84111,0.169308,0.0112062,0.00782793,1.14722,0.0496602,543721.0,35.0806659836852,410.269497946835,-6.1596527179221,0.228742,302724.0,1500100005.0,150010.0,,,,,
543731,0.19491,4,0.195952,10.6506,0.10602,9.78228,0.19571,0.0116033,0.00795272,1.09207,0.0494471,543731.0,48.241661081098,562.662912843996,-10.2478033112197,2.18252,0.0,1501500002.0,150150.0,,,,,
543746,0.05403,5,0.0549485,10.7673,0.109436,9.84348,0.195462,0.00807323,0.00748938,1.00797,0.0393182,543746.0,13.8053689603179,162.398319903387,-2.81175486844627,1.52921,0.0,1500380003.0,150038.0,,,,,
543748,0.11601,4,0.116983,10.579,0.0998957,9.85244,0.167265,0.010758,0.00803584,1.13081,0.0482037,543748.0,29.1844549379363,341.480237265202,-5.83335227143564,3.39353,0.0,1500560002.0,150056.0,,,,,
543749,0.13999,5,0.140982,10.6774,0.112581,9.77911,0.209952,0.00991455,0.00722943,0.957423,0.0431455,543749.0,34.5023505547096,409.575118346357,-6.19958864086914,0.948707,0.0,1500100005.0,150010.0,,,,,
543755,0.17255,4,0.17357,10.422,0.1149,9.74724,0.222325,0.00866894,0.0068152,0.823884,0.0454095,543755.0,41.6949466524481,500.881821176083,-7.63980278893897,0.251312,302725.0,1500650001.0,150065.0,,,,,
543756,0.17246,4,0.17348,10.2959,0.133077,9.69429,0.259036,0.0145513,0.00867944,0.952227,0.0589238,543756.0,41.692142706765,500.630140095151,-7.62147124844247,0.0231882,302725.0,1500650001.0,150065.0,,,,,
543758,0.18663,4,0.187662,10.7258,0.0976125,9.82418,0.168417,0.0122268,0.00787202,1.09338,0.0485861,543758.0,44.7521566281565,539.934426529342,-9.81891195869558,3.36223,307169.0,1500080013.0,150008.0,,,,,
543768,0.17187,4,0.172888,10.5832,0.112695,9.75194,0.217691,0.00877283,0.00674823,0.870503,0.0426873,543768.0,41.0534387658803,499.016399292052,-8.27734795513694,1.84521,0.0,1500650001.0,150065.0,,,,,
543771,0.08301,5,0.0839501,10.3127,0.114929,9.80583,0.210688,0.00946705,0.00762209,0.932396,0.0429203,543771.0,20.0795714288742,246.781300152835,-3.64215247620653,2.44556,0.0,1502310001.0,150231.0,,,,,
543773,0.17325,5,0.174268,11.1483,0.10661,9.79679,0.193613,0.00989551,0.00793706,1.15082,0.0469928,543773.0,40.4588940921881,502.924845429179,-8.42603867771837,2.71308,0.0,1500650001.0,150065.0,,,,,
543779,0.11838,4,0.119351,10.4492,0.104947,9.83633,0.182092,0.0128526,0.00932929,1.19253,0.0510707,543779.0,28.2060959601293,348.349683605387,-6.19281488884827,2.96141,0.0,1500560002.0,150056.0,,,,,
543797,0.05444,5,0.055354,10.5259,0.110599,9.85158,0.194635,0.0126499,0.0106808,1.23329,0.0462804,543797.0,13.0540162964059,163.658000676049,-2.59139799341655,1.80083,0.0,1500380003.0,150038.0,,,,,
543798,0.1728,4,0.173817,10.8063,0.101879,9.82322,0.176209,0.0104177,0.00764437,1.0736,0.0481367,543798.0,39.978390723736,501.690744755602,-9.02856081384043,2.43658,307171.0,1500650001.0,150065.0,,,,,
